CID,CD_DESCRICAO
S358,Traum outr vasos sang niv abdome dorso pelve
E113,C/compl oftalmicas
E035,Coma mixedematoso
V427,Pessoa viajando ext veic acid trans
V906,Bote inflavel
C81,Doenc de Hodgkin
X287,Fazenda
Z504,Psicoterapia NCOP
L538,Outr afeccoes eritematosas espec
D355,Corpo carotideo
I843,Hemorroidas externas trombosadas
A439,Nocardiose NE
Q639,Malformacao congen NE do rim
K225,Diverticulo do esofago adquir
E147,C/complic mult
Y335,Areas de comercio e de servicos
C328,Lesao invasiva da laringe
I738,Outr doenc vasculares perifericas espec
M625,Perda e atrofia muscular NCOP
V554,Pessoa ao subir ou descer do veic
V410,Condutor acid n-trans
X037,Fazenda
V191,Passag colis outr veic NE mot acid n-trans
B82,Parasitose intestinal NE
K508,Outr form de doenc de Crohn
N855,Inversao do utero
Q892,Malformacoes congen de outr gland endocrinas
I498,Outr arritmias cardiacas espec
E854,Amiloidose limitada a orgaos
V600,Condutor acid n-trans
S410,Ferim do ombro
S088,Amput traum de outr partes da cabeca
Q289,Malform congen NE do aparelho circulatorio
O743,Comp sist nerv cent dev anest trab part part
M674,Ganglios
L23,Dermatites alergicas de contato
Z814,Historia familiar de abuso de outr subst
F529,Disfuncao sexual n dev transt doenc organ NE
V97,Outr acid espec de transporte aereo
Y091,Habitacao coletiva
Q65,Malformacoes congen do quadril
L020,Abscesso cutaneo furunculo e carbunculo face
J62,Pneumoconiose dev poeira que cont silica
W681,Habitacao coletiva
O25,Desnutric na gravidez
V99,Acid transp NE
V179,Ciclista NE em acid trans
X944,Rua e estrada
N015,Glomerulonefrite mesangiocapilar difusa
A238,Outr bruceloses
P033,Fet rec-nasc afet parto p/vacuo-extrator
M010,Artrite meningococica
K071,Anomalias relacao entre mandibula base cran
Y158,Outr locais espec
C381,Mediastino anterior
Y89,Sequelas de outr causas externas
X247,Fazenda
V473,Ocupante NE acid n-trans
W914,Rua e estrada
H839,Transt NE do ouvido interno
H65,Otite media nao-supurativa
W581,Habitacao coletiva
V423,Ocupante NE acid n-trans
V882,Colis entre automovel e caminhonete
T494,Ceratol ceratopl out drog prepar trat cabelo
M410,Escoliose idiopatica infantil
R196,Halitose
T26,Queim e corrosao limitadas ao olho e anexos
S27,Traum de outr orgaos intratoracicos e dos NE
D86,Sarcoidose
B068,Rubeola c/outr complic
W432,Escolas outr instit areas admin publica
X108,Outr locais espec
M614,Outr calcificacao de musculo
Q062,Diastematomielia
W759,Local NE
I72,Outr aneurismas
C772,Ganglios linfaticos intra-abdominais
X127,Fazenda
H653,Otite media mucoide cronica
N991,Estreitamento de uretra pos-proced
Q779,Osteocond NE c/anom cresc osso long col vert
T563,Cadmio e seus compostos
T021,Frat envolv torax c/parte inf dorso e pelve
M888,Doenc de Paget de outr ossos
P800,Sindr de lesao p/frio
R47,Disturbios da fala NCOP
J451,Asma nao-alergica
W122,Escolas outr instit areas admin publica
T463,Vasodilatadores coronarianos NCOP
C755,Corpo aortico e outr paraganglios
H309,Inflam NE da coroide e da retina
W249,Local NE
V491,Passageiro colis outr veic NE mot ac n-trans
W366,Areas industriais e em construcao
T822,Complic mec enxerto ponte coron impl valvas
G218,Outr form de parkinsonismo secund
Y770,Disp p/fins diagn ou de monitorizacao
Y60,Cort punc perf hemorr acid cuid med cirurg
S031,Luxacao da cartilagem do septo nasal
Y798,Disp diversos incl combinacoes NCOP
W325,Areas de comercio e de servicos
C451,Mesotelioma do peritonio
A369,Difteria NE
E210,Hiperparatireoidismo prim
C183,Flexura hepatica
W279,Local NE
W877,Fazenda
M880,Doenc de Paget do cranio
M12,Outr artropatias espec
X701,Habitacao coletiva
K293,Gastrite superf cronica
G961,Transt das meninges NCOP
X73,Les autoprov int disp arm fog maior calibre
Q502,Torsao congen do ovario
V345,Condutor acid trans
Q641,Extrofia vesical
W855,Areas de comercio e de servicos
K42,Hernia umbilical
J66,Doenc das vias aereas dev poeiras org espec
X295,Areas de comercio e de servicos
R948,Result anorm estudos funcao outr org ap sist
Y561,Antipruriginosos
Y446,Sangue natural e produtos do sangue
B259,Doenc NE p/citomegalovirus
S274,Traum dos bronquios
V283,Pessoa ao subir ou descer do veic
F444,Transt dissociativos do movimento
X456,Areas industriais e em construcao
V349,Ocup NE acid trans
S628,Frat de outr partes e de partes NE punho mao
Y204,Rua e estrada
L650,Efluvio telogeno
P007,Fet rec-nasc afet outr proced med mae NCOP
D05,Carcinoma in situ da mama
M246,Ancilose articular
E260,Hiperaldosteronismo prim
K803,Calculose de via biliar c/colangite
M918,Outr osteocondroses juvenis quadril e pelve
Y231,Habitacao coletiva
T233,Queim de 3.grau do punho e da mao
Q233,Insuf mitral congen
V566,Passageiro acid trans
C829,Linfoma nao-Hodgkin folicular NE
C941,Eritremia cronica
N93,Outr sangramentos anormais utero e vagina
K560,Ileo paralitico
I698,Sequelas outr doenc cerebrovasculares e NE
A65,Sifilis nao-venerea
W442,Escolas outr instit areas admin publica
L640,Alopecia androgenica induz p/droga
U800,Agente resistente à penicilina
Y455,Derivados do 4-aminofenol
V660,Condutor acid n-trans
Y119,Local NE
A17,Tuberc do sist nervoso
R782,Presenca de cocaina no sangue
D824,Sindr da hiperimunoglobulina E
W372,Escolas outr instit areas admin publica
Q668,Outr deform congen do pe
F119,Transt mental ou comport NE
D730,Hipoesplenismo
D104,Amigdala
K82,Outr doenc da vesicula biliar
Z978,Presenca de outr disp espec
V05,Pedestre traum colis trem veic ferroviario
X909,Local NE
Y042,Escolas outr instit areas admin publica
X035,Areas de comercio e de servicos
G129,Atrofia muscular espinal NE
D720,Anomalias geneticas dos leucocitos
O860,Infecc da incisao cirurgica orig obstetrica
F16,Transt mentais comport dev uso alucinogenos
I611,Hemorragia intracerebr hemisferica cortical
G804,Paralisia cerebral ataxica
Z541,Convalescenca apos radioterapia
X236,Areas industriais e em construcao
T062,Traum de nervos envolv regioes mult do corpo
K638,Outr doenc espec do intestino
V43,Ocup automov traum col auto pickup caminhon
G211,Outr form parkinsonismo secund induz drogas
T333,Geladura superf pared abd part inf dors pelv
S15,Traum dos vasos sanguineos nivel do pescoco
S366,Traum do reto
L511,Eritema multiforme bolhoso
O86,Outr infecc puerperais
F840,Autismo infantil
S890,Traum mult da perna
V661,Passageiro acid n-trans
D511,Anemia def vit B12 ma-abs sel vit B12 c/prot
N171,Insuf renal aguda c/necrose cortical aguda
W117,Fazenda
I372,Estenose da valva pulmonar c/insuf
E127,C/complic mult
R292,Reflexos anormais
Q809,Ictiose congen NE
M481,Hiperostose ancilosante
P220,Sindr da angustia respirat do recem-nascido
M016,Artrite em micoses
Q446,Doenc cistica do figado
C210,Anus NE
Y038,Outr locais espec
V464,Pessoa ao subir ou descer do veic
E68,Sequelas de hiperalimentacao
T738,Outr efeitos de privacao
T860,Rejeicao a transplante de medula ossea
Y087,Fazenda
S550,Traum da arteria cubital ao nivel antebraco
T252,Queim de 2.grau do tornozelo e do pe
Z713,Aconselhamento e supervisao dieteticos
W155,Areas de comercio e de servicos
F142,Sindr de dependencia
X467,Fazenda
Z862,Hist pess doenc sang org hemat transt imunit
L681,Hipertricose lanuginosa adquir
V887,Colis entre outr veic mot esp
H542,Visao subnormal de ambos os olhos
B05,Sarampo
I711,Aneurisma da aorta toracica roto
T03,Luxac entors distens envolv reg mult corpo
W082,Escolas outr instit areas admin publica
K299,Gastroduodenite SOE
E07,Outr transt da tireoide
T636,Contato c/outr animais marinhos
Z314,Invest e testes c/relacao a procriacao
J632,Beriliose
X139,Local NE
L443,Liquen rubro moniliforme
T91,Sequelas de traum do pescoco e do tronco
W799,Local NE
T570,Arsenico e seus compostos
T651,Estricnina e seus sais
W839,Local NE
X22,Contato c/escorpioes
T343,Gelad necr tec pared abd part inf dors pelv
E001,Sindr defic congen iodo tipo mixedematoso
P016,Fet rec-nasc afetados p/morte materna
T923,Sequelas luxacao entorse distensao membr sup
A679,Pinta NE
I691,Sequelas de hemorragia intracerebral
X50,Excesso exerc movim vigorosos ou repetitivos
W869,Local NE
H190,Esclerite e episclerite em doenc COP
W307,Fazenda
V530,Condutor acid n-trans
Y91,Evidencia alcoolismo determ p/nivel da intox
S453,Traum de veia superf ao nivel ombro e braco
D39,Neopl comp incerto/desconh org genitais fem
X371,Habitacao coletiva
T291,Queim mult s/menc queim ultrapass 1.grau
W097,Fazenda
S290,Traum de musculo e de tendao nivel toracico
S644,Traum do nervo digital de outr dedo
O926,Galactorreia
K274,Cronica ou NE c/hemorragia
H348,Outr oclusoes vasculares retinianas
Y541,Antagonistas dos mineralocorticoides
N884,Alongamento hipertrofico do colo do utero
M81,Osteoporose s/frat patologica
C148,Lesao invasiva labio cavidade oral e faringe
H281,Catarata outr doenc endocr nutric e metabol
V905,Caiaque ou canoa
E649,Sequelas de defic nutricional NE
Q954,Sujeito c/marcador de heterocromatina
Q243,Estenose do infundibulo pulmonar
V784,Pessoa ao subir ou descer do veic
R830,Nivel enzimatico anormal
V63,Ocup veic tr pesado traum col auto caminhon
F601,Personalidade esquizoide
Y599,Vacina ou subst biologica NE
Q229,Malformacao congen NE da valva tricuspide
J440,Doen pulm obs cron c/inf resp ag tr resp inf
Z038,Observacao p/suspeita de outr doenc afeccoes
Q524,Outr malformacoes congen da vagina
M868,Outr osteomielite
E214,Outr transt espec da gland paratireoide
M020,Artropatia pos-derivacao intestinal
E710,Doenc da urina em xarope de acer
F011,Demencia p/infartos mult
V84,Ocup veic esp mot uso agric traum acid trans
X11,Contato c/agua corrente quente de torneira
M500,Transt do disco cervical c/mielopatia
Q257,Outr malformacoes congen da arteria pulmonar
N11,Nefrite tubulo-intersticial cronica
T830,Complic mecanica de cateter urinario
T513,Oleo de fusel
T54,Efeito toxico de corrosivos
B428,Outr form de esporotricose
W933,Area p/a pratica de esportes e atletismo
W990,Residencia
Z103,Exame geral de rotina de equipe esportiva
V185,Passageiro em acid trans
D042,Pele da orelha e do conduto auditivo externo
V307,Pessoa viajando ext veic acid trans
G51,Transt do nervo facial
N045,Glomerulonefrite mesangiocapilar difusa
E040,Bocio nao-toxico difuso
K007,Sindr da erupcao dentaria
I772,Ruptura de arteria
M321,Lupus eritematoso dissem compr outr org/sist
S731,Entorse e distensao do quadril
X137,Fazenda
E640,Sequelas de desnutric proteico-calorica
C677,Uraco
E111,C/cetoacidose
A91,Febre hemorragica dev virus do dengue
V901,Navio de passageiros
S444,Traum do nervo musculocutaneo
H320,Inflam coriorretin doenc infecc parasit COP
X681,Habitacao coletiva
X784,Rua e estrada
F504,Hiperfagia assoc outr disturb psicologicos
X642,Escolas outr instit areas admin publica
P719,Transt transit NE metab calc magn per neonat
Y50,Estimulantes do sist nervoso central NCOP
Y617,Durante extracao cateter ou compressas
U808,Agente resistente a outro antibiótico relacionado
X980,Residencia
W001,Habitacao coletiva
L415,Parapsoriase retiforme
T205,Corrosao de 1.grau cabeca e pescoco
S759,Traum vaso sanguineo NE nivel quadril e coxa
I328,Pericardite em outr doenc COP
A054,Intox alimentar dev Bacillus cereus
E321,Abscesso do timo
Y635,Temperat inadeq durante aplic local curativo
Q936,Delecoes vistas somente na prometafase
Q203,Comunicacao ventriculo-atrial discordante
R20,Disturbios da sensibilidade cutanea
H270,Afacia
W528,Outr locais espec
O652,Obstr trab parto dev contracao estreito sup
X474,Rua e estrada
M891,Parada de crescimento epifisario
F531,Transt ment comport graves assoc puerp NCOP
Y621,Durante infusao ou transfusao
Y194,Rua e estrada
T132,Lux entor dist artic lig NE membr inf niv NE
M172,Gonartrose pos-traum bilateral
H438,Outr transt do humor vitreo
V350,Condutor acid n-trans
I771,Estenose de arteria
W944,Rua e estrada
P591,Sindr da bile espessa
G058,Encefal mielit encefalomiel outr doenc COP
S372,Traum da bexiga
Y435,Acidificantes e alcalinizantes
D612,Anemia aplastica dev outr agentes externos
B427,Esporotricose disseminada
T658,Outr subst espec
I731,Tromboangeite obliterante
L815,Leucodermia NCOP
X403,Area p/a pratica de esportes e atletismo
M181,Outr artroses prim prim artic carpometacarp
N999,Transt pos-proced NE aparelho geniturinario
N972,Infertilidade femin orig uterina
P549,Hemorragia fetal e neonatal NE
S88,Amput traum da perna
T285,Corrosao da boca e faringe
O899,Complic dev anestesia durante o puerperio NE
J958,Outr transt respirat pos-proced
Y783,Instrumentos materiais aparelhos cirurgicos
C19,Neopl malig da juncao retossigmoide
W355,Areas de comercio e de servicos
I459,Transt de conducao NE
T798,Outr complic precoces de traum
N778,Ulceracao inflam vulvovag outr doenc COP
Z440,Colocacao e ajustamento de braco artificial
Q97,Outr anom cromoss sexuais fenotipo fem NCOP
G722,Miopatia dev outr agentes toxicos
W67,Afogamento e submersao em piscina
Q719,DEFEITO POR REDUCAO DO MEMBRO SUPERIOR NAO ESPECIF
D811,Imunodef comb grave c/num baixos celulas T B
W677,Fazenda
V598,Ocupante outr acid trans espec
X603,Area p/a pratica de esportes e atletismo
N803,Endometriose do peritonio pelvico
Y317,Fazenda
T016,Ferim envolv regi mult membr super membr inf
G831,Monoplegia do membro infer
W294,Rua e estrada
X383,Area p/a pratica de esportes e atletismo
O910,Infecc do mamilo assoc ao parto
Y95,Circunst relat condicoes nosocomiais
X521,Habitacao coletiva
F061,Estado catatonico organico
W655,Areas de comercio e de servicos
S011,Ferim da palpebra e da regiao periocular
X804,Rua e estrada
Y902,Alcoolemia de 40-59 mg/100ml
Y230,Residencia
W268,Outr locais espec
W683,Area p/a pratica de esportes e atletismo
X540,Residencia
O000,Gravidez abdominal
B519,Malaria p/Plasmodium vivax s/complic
Q64,Outr malformacoes congen aparelho urinario
V736,Passageiro acid trans
R899,Achado anormal NE
K069,Transt gengiva rebordo alveolar s/dentes SOE
V523,Ocupante NE acid n-trans
X356,Areas industriais e em construcao
F986,Linguagem precipitada
E752,Outr esfingolipidoses
X587,Fazenda
Q101,Ectropio congen
T537,Deriv halogenicos hidrocarbonetos aromaticos
W674,Rua e estrada
V924,Barco a vela
W90,Exposicao outr tipos radiacao nao-ionizante
Z558,Outr probl relac educacao e alfabetizacao
S373,Traum da uretra
B344,Infecc p/papovavirus NE
I694,Sequelas acid vasc cerebr NE c/hemorr isquem
C782,Neopl malig secund da pleura
N051,Lesoes glomerulares focais e segmentares
I70,Aterosclerose
Q614,Displasia renal
V577,Pessoa viajando ext veic acid trans
Z002,Exame periodo crescimento rapido na infancia
W738,Outr locais espec
V624,Pessoa ao subir ou descer do veic
Y591,Vacinas anti-rickettsias
K135,Fibrose oral submucosa
A227,Septicemia carbunculosa
L579,Alter pele dev expos cron rad nao-ioniz NE
G051,Encefal mielit encefalomiel doenc virais COP
B169,Hepatite aguda B s/agente Delta s/coma hepat
W68,Afogamento submersao conseq queda piscina
M942,Condromalacia
V670,Condutor acid n-trans
Z567,Outr problemas e os NE relac emprego
S341,Outr traum da medula lombar
T901,Sequelas de ferim da cabeca
Y361,Oper guerra envolv destruicao de aeronave
F630,Jogo patologico
G638,Polineuropatia em outr doenc COP
Z743,Necessidade de supervisao continua
W30,Contato c/maquinaria agricola
F317,Transt afet bipolar atualmente em remissao
O30,Gestacao mult
O056,Compl ou NE complic hemorrag excess ou tard
I281,Aneurisma da arteria pulmonar
V780,Condutor acid n-trans
N824,Outr fistulas genito-intestinais femin
K659,Peritonite SOE
Q303,Perfuracao congen do septo nasal
Z592,Desacordo vizinhos locatarios proprietarios
A270,Leptopirose icterohemorragica
A699,Infecc p/espiroqueta NE
X650,Residencia
N609,Displasia mamaria benigna NE
O620,Contracoes iniciais inadequadas
W533,Area p/a pratica de esportes e atletismo
G579,Mononeuropatia dos membros infer NE
T255,Corrosao de 1.grau do tornozelo e do pe
K861,Outr pancreatites cronicas
H451,Endoftalmite em doenc COP
A513,Sifilis secund da pele e das mucosas
R301,Tenesmo vesical
B949,Sequelas de doenc infecc ou parasit NE
M414,Escoliose neuromuscular
F909,Transt hipercinetico NE
X394,Rua e estrada
X89,Agressao outr prod quim subst nocivas espec
N035,Glomerulonefrite mesangiocapilar difusa
H491,Paralisia do quarto par
I499,Arritmia cardiaca NE
X614,Rua e estrada
X936,Areas industriais e em construcao
I341,Prolapso mitral
Q503,Outr malformacoes congen do ovario
Z46,Colocacao e ajustamento de outr aparelhos
V47,Ocup automovel traum colis obj fixo parado
V94,Outr acid transp p/agua e os NE
G931,Lesao encefalica anoxica NCOP
W069,Local NE
R482,Apraxia
Q423,Ausencia atresia estenose congen anus s/fist
B37,Candidiase
B268,Caxumba c/outr complic
A590,Tricomoniase urogenital
W149,Local NE
Q33,Malformacoes congen do pulmao
B160,Hepatite aguda B c/agente Delta c/coma hepat
Z024,Exame p/licenca p/a conducao de veic
L100,Penfigo vulgar
O909,Complic do puerperio NE
X966,Areas industriais e em construcao
R632,Polifagia
D293,Epididimo
W938,Outr locais espec
F44,Transt dissociativos
Q401,Hernia congen de hiato
Q340,Anomalia da pleura
Y493,Antipsicoticos neurolepticos fenotiazinicos
D64,Outr anemias
W599,Local NE
H420,Glaucoma em doenc endocr nutric e metab COP
X277,Fazenda
R15,Incontinencia fecal
V361,Passageiro acid n-trans
B278,Outr mononucleoses infecc
P008,Fet rec-nasc afet outr afeccoes maternas
C960,Doenc de Letterer-Siwe
D165,Osso da mandibula
Q554,Out malf cong can defer epid ves sem prostat
F718,Outr comprometimentos do comport
N94,Dor outr afecc ass org genit fem cicl menstr
Q766,Outr malformacoes congen das costelas
K820,Obstrucao da vesicula biliar
T67,Efeitos do calor e da luz
O40,Polihidramnio
Y29,Contato obj contundente intenc n det
Z605,Objeto discriminacao perseguicao percebidas
P252,Pneumomediastino originado periodo perinatal
X518,Outr locais espec
K850,Pancreatite aguda idiopática
B33,Outr doenc p/virus NCOP
I830,Varizes dos membros infer c/ulcera
T142,Frat de regiao NE do corpo
N324,Ruptura da bexiga nao-traum
W946,Areas industriais e em construcao
B382,Coccidioidomicose pulmonar NE
H536,Cegueira noturna
Y788,Disp diversos incl combinacoes NCOP
H59,Transt do olho e anexos pos-proced NCOP
Y277,Fazenda
V646,Passageiro acid trans
X262,Escolas outr instit areas admin publica
N975,Infertilidade femin de outr origem
C098,Lesao invasiva da amigdala
P70,Trans transit metab carboid esp fet rec-nasc
W135,Areas de comercio e de servicos
X057,Fazenda
G440,Sindr de cluster-headache
T951,Sequelas de queim corrosao e geladura tronco
O288,Outr achados anorm rastr antenatal da mae
K713,Doenc hepatica tox c/hepatite cron persist
S225,Torax fundido
M912,Coxa plana
P968,Outr afeccoes espec orig periodo perinatal
A009,Colera NE
Q056,Espinha bifida toracica s/hidrocefalia
Z388,Outr nascimentos mult NE quanto local nasc
Z386,Outr nascimentos mult em hospital
B488,Outr micoses espec
H911,Presbiacusia
S232,Luxacao de outr partes do torax e das NE
X420,Residencia
J399,Doenc NE das vias aereas super
M765,Tendinite patelar
S311,Ferim da parede abdominal
O208,Outr hemorragias do inicio da gravidez
Z805,Historia familiar neopl malig trato urinario
H610,Pericondrite do pavilhao da orelha
O218,Outr form de vomitos complicando a gravidez
O815,Parto p/combinacao forceps e vacuo-extrator
Q113,Macroftalmia
Q984,Sindr de Klinefelter NE
X442,Escolas outr instit areas admin publica
X483,Area p/a pratica de esportes e atletismo
K383,Fistula do apendice
I881,Linfadenite cronica exceto a mesenterica
H038,Compr da palpebra em outr doenc COP
M002,Outr artrites e poliartrites estreptococicas
V542,Pessoa viajando ext veic acid n-trans
V173,Pessoa traum ao subir ou descer do veic
N76,Outr afeccoes inflam da vagina e da vulva
V567,Pessoa viajando ext veic acid trans
A751,Tifo recrudescente
X211,Habitacao coletiva
K86,Outr doenc do pancreas
E559,Defic NE de vitamina D
K055,Outr doenc periodontais
X335,Areas de comercio e de servicos
V351,Passageiro acid n-trans
F233,Outr transt psicot agudos essenc delirantes
E063,Tireoidite auto-imune
X013,Area p/a pratica de esportes e atletismo
B520,Malaria p/Plasmodium malariae c/nefropatia
X380,Residencia
N744,Infecc pelvica femin p/clamidia
T838,Outr complic disp prot impl enx genituri
L82,Ceratose seborreica
X751,Habitacao coletiva
Y296,Areas industriais e em construcao
G937,Sindr de Reye
W382,Escolas outr instit areas admin publica
D29,Neopl benig dos orgaos genitais masc
X932,Escolas outr instit areas admin publica
I690,Sequelas de hemorragia subaranoidea
W360,Residencia
B251,Hepatite p/citomegalovirus
T458,Outr subst prim sistemicas e hematologicas
M211,Deform em varo NCOP
V150,Condutor em acid n-trans
D51,Anemia p/defic de vitamina B12
D470,Tum comp inc/desc mastocit celulas histiocit
J849,Doenc pulmonar intersticial NE
X639,Local NE
W046,Areas industriais e em construcao
W132,Escolas outr instit areas admin publica
S562,Traum outr musc flexor tendao niv antebraco
S398,Outr traum espec do abdome do dorso e pelve
S05,Traum do olho e da orbita ocular
H406,Glaucoma secund a drogas
F61,Transt mistos personal outr transt personal
W383,Area p/a pratica de esportes e atletismo
D252,Leiomioma subseroso do utero
K811,Colecistite cronica
L430,Liquen plano hipertrofico
W392,Escolas outr instit areas admin publica
M962,Cifose pos-radiacao
L630,Alopecia total
C69,Neopl malig do olho e anexos
Q079,Malformacao congen NE do sist nervoso
T70,Efeitos pressao atmosferica e pressao agua
I25,Doenc isquemica cronica do coracao
W515,Areas de comercio e de servicos
K076,Transt da articulacao temporomandibular
Y782,Proteses outr impl incl materiais acessorios
D049,Pele NE
G13,Atrof sist q afet sist nerv centr doen COP
P351,Infecc congen p/citomegalovirus
T241,Queim 1.grau quadr membr inf exc tornoz pe
R202,Parestesias cutaneas
T95,Sequelas de queim corrosoes e geladuras
I601,Hemorragia subarac prov arteria cerebr media
W673,Area p/a pratica de esportes e atletismo
S619,Ferim do punho e da mao parte NE
Z618,Outr eventos vida pessoal negativos infancia
I520,Outr afeccoes cardiacas em doenc bacter COP
Y409,Antibiotico sistemico NE
B408,Outr form de blastomicose
Y02,Agressao proj coloc vitima obj movimento
X606,Areas industriais e em construcao
K382,Diverticulo do apendice
Y543,Derivados da benzotiadiazina
N021,Lesoes glomerulares focais e segmentares
O988,Out doen inf paras mat comp grav parto puerp
A691,Outr infecc de Vincent
G542,Transt das raizes cervicais NCOP
W334,Rua e estrada
V125,Passageiro em acid trans
M483,Espondilopatia traum
C723,Nervo optico
C67,Neopl malig da bexiga
T099,Traum NE do tronco nivel NE
E648,Sequelas de outr defic nutricionais
H470,Transt do nervo optico NCOP
Y780,Disp p/fins diagn ou de monitorizacao
C430,Melanoma malig do labio
T49,Int subs uso top pel muc med ut oft otor odo
Q953,Rearranjo sexual/autoss equilibr suj anorm
T831,Complic mec outr disp implantes urinarios
L25,Dermatite de contato NE
Q349,Malformacao congen NE do aparelho respirat
T569,Metal NE
L240,Dermatite contato p/irrit dev detergentes
Q501,Cisto ovariano de desenvolv
Z899,Ausencia adquir de membro NE
H269,Catarata NE
N393,Incontinencia de tensao
M770,Epicondilite medial
G54,Transt das raizes e dos plexos nervosos
Y723,Instrumentos materiais aparelhos cirurgicos
X839,Local NE
R560,Convulsoes febris
Y224,Rua e estrada
O994,Doenc ap circulat compl gravidez parto puerp
W228,Outr locais espec
W819,Local NE
V719,Ocupante NE acid trans
X742,Escolas outr instit areas admin publica
M755,Bursite do ombro
L598,Outr afecc espec pele tec subcutaneo rel rad
X758,Outr locais espec
K660,Aderencias peritoniais
X616,Areas industriais e em construcao
Z204,Contato exposicao a rubeola
K589,Sindr do colon irritavel s/diarreia
O353,Assist prest mae lesao fet caus doen vir mat
I629,Hemorragia intracraniana NE
O888,Outr embolias orig obstetrica
O62,Anormalidades da contracao uterina
T80,Complic conseq infus transfus injecao terap
W870,Residencia
W691,Habitacao coletiva
M928,Outr osteocondroses juvenis espec
S091,Traum dos musculos e dos tendoes da cabeca
R049,Hemorragia NE das vias respirat
V421,Passageiro acid n-trans
T952,Sequelas queim corrosao geladura membro sup
Z953,Presenca de valva cardiaca xenogena
K764,Peliose hepatica
P280,Atelectasia prim do recem-nascido
G909,Transt NE do sist nervoso autonomo
R16,Hepatomegalia e esplenomegalia NCOP
O054,Incompleto s/complic
V700,Condutor acid n-trans
B740,Filariose p/Wuchereria bancrofti
V41,Ocup automovel traum colis veic a pedal
M206,Deform adquir NE de dedos do pe
Y139,Local NE
W689,Local NE
M303,Sindr de linfonodos mucocutaneos
R633,Dificuld alimentacao erros admin alimentos
S568,Traum outr musc tendoes e NE nivel antebraco
O883,Embolia septica ou piemica orig obstetrica
Q159,Malformacao congen NE do olho
R440,Alucinacoes auditivas
W450,Residencia
P242,Aspiracao neonatal de sangue
T654,Dissulfeto de carbono
K439,Hernia ventral s/obstrucao ou gangrena
O312,Contin grav apos morte intra-uter de fetos
X54,Falta de agua
D129,Canal anal e anus
